Alder;3801 Horten;3802 Holmestrand;3803 Tønsberg;3804 Sandefjord;3805 Larvik;3806 Porsgrunn;3807 Skien;3808 Notodden;3811 Færder;3812 Siljan;3813 Bamble;3814 Kragerø;3815 Drangedal;3816 Nome;3817 Midt-Telemark;3818 Tinn;3819 Hjartdal;3820 Seljord;3821 Kviteseid;3822 Nissedal;3823 Fyresdal;3824 Tokke;3825 Vinje
Utflytting;;;;;;;;;;;;;;;;;;;;;;;
45 år;65;66;162;144;90;120;127;30;86;7;26;24;13;15;25;8;3;3;8;;2;3;15
46 år;57;84;155;158;100;94;132;20;78;6;33;26;8;25;31;19;2;4;6;6;3;7;8
47 år;70;76;204;180;96;90;113;17;82;3;30;24;12;8;33;10;4;6;6;7;2;10;5
48 år;62;71;163;176;92;102;125;25;73;6;39;29;11;15;19;4;1;8;9;7;2;10;6
49 år;81;89;176;152;87;86;111;14;69;11;17;29;8;13;17;14;6;8;6;5;4;8;9
50 år;66;72;179;148;98;97;90;22;83;3;27;22;4;15;32;18;4;5;8;5;3;5;7
51 år;57;70;173;160;82;61;126;18;88;8;33;27;5;20;16;10;;7;8;1;4;6;8
52 år;62;78;184;122;88;98;123;19;83;7;36;22;7;26;12;12;3;7;8;4;5;6;14
53 år;58;71;174;130;91;82;101;17;68;6;24;18;7;19;17;7;1;8;7;3;6;4;6
54 år;58;60;177;142;78;64;91;16;81;8;27;27;11;17;17;12;3;5;5;4;1;4;9
55 år;63;66;144;128;61;79;92;11;74;6;21;21;8;18;16;10;4;4;5;3;;1;6
56 år;43;67;150;119;78;63;64;17;80;4;29;16;5;14;15;13;3;5;4;5;2;3;5
57 år;47;60;143;109;72;76;79;20;63;11;30;18;9;13;16;8;1;3;6;4;;5;9
58 år;42;72;110;110;67;58;72;22;71;6;24;22;5;6;21;8;2;5;4;;1;3;4
59 år;31;58;130;86;67;47;56;19;84;6;12;20;7;8;17;9;1;3;2;4;2;3;6
60 år;50;53;130;91;61;48;64;16;66;5;15;14;5;5;13;7;4;5;5;5;2;5;4
61 år;54;56;100;88;51;53;62;19;62;3;18;10;4;13;11;6;3;8;4;1;1;2;4
62 år;41;58;94;86;66;47;54;14;67;4;14;9;6;8;7;7;6;7;2;3;3;3;4
63 år;51;67;80;72;55;45;45;9;63;3;16;15;5;10;18;5;2;4;2;7;2;5;7
64 år;34;41;100;79;63;41;52;13;70;1;13;12;3;8;10;8;3;6;2;3;1;4;5
65 år;34;38;76;81;75;30;48;13;64;1;17;11;1;6;9;7;4;7;4;2;;2;6
66 år;34;52;86;73;53;39;33;15;49;;10;10;2;10;13;6;1;3;3;4;2;2;5
67 år;48;42;91;57;59;33;37;10;63;2;7;12;3;5;13;14;2;4;1;;1;5;5
68 år;23;45;76;66;50;37;54;8;42;1;11;16;6;5;7;5;4;4;4;3;3;3;1
69 år;30;38;74;61;44;27;33;10;47;2;12;11;7;5;12;5;;3;2;6;;4;4
70 år;30;26;55;56;46;28;29;10;50;3;10;11;2;5;11;3;1;2;2;3;3;3;4
Nettoflytting;;;;;;;;;;;;;;;;;;;;;;;
0 år;41;44;42;82;75;22;31;5;43;0;16;7;4;-1;27;-4;4;-2;0;-2;3;1;5
1 år;37;53;56;130;86;31;101;4;51;6;17;8;1;21;10;-6;4;0;1;0;-2;-1;14
2 år;46;43;77;101;85;44;55;-12;53;9;14;14;3;6;14;-4;5;-4;5;4;2;0;-5
3 år;21;28;30;84;66;22;42;8;63;0;8;8;7;12;12;2;-1;5;6;-5;-1;0;6
4 år;34;34;64;75;41;39;19;10;25;3;14;13;9;8;5;2;0;7;-3;3;1;0;0
5 år;10;21;28;86;24;22;22;4;47;6;10;-3;-6;6;6;-3;5;-4;2;2;2;-3;1
6 år;4;48;45;46;21;23;43;9;13;1;5;12;3;13;2;8;1;2;0;0;-1;-1;8
7 år;6;14;30;85;16;26;10;9;9;3;16;15;3;9;13;0;2;2;4;3;-2;4;-5
8 år;12;28;15;68;-14;34;10;3;27;-1;14;9;0;5;2;-1;-3;5;1;-2;0;2;4
9 år;6;18;28;55;28;14;39;4;17;9;8;9;6;9;6;1;2;-3;3;2;1;-1;0
10 år;14;-6;40;60;44;3;42;10;20;3;16;1;-2;-1;12;-1;2;2;1;0;0;-1;5
11 år;1;21;42;71;8;5;31;10;11;3;12;8;10;1;-2;6;0;6;0;2;-2;1;-7
12 år;15;14;28;46;26;28;18;2;20;0;5;7;6;6;-2;7;-1;0;-2;4;-2;5;2
13 år;-2;18;44;27;34;11;43;3;28;-3;14;0;-2;-2;7;4;-1;0;0;1;-1;0;-2
14 år;0;10;28;63;14;36;26;-7;21;-3;0;-8;8;5;9;1;0;-1;1;0;-2;2;2
15 år;21;-1;22;39;13;23;43;2;5;2;12;1;6;0;6;2;-1;4;1;-1;-3;0;6
16 år;-2;-10;73;76;50;20;65;0;-6;-1;0;0;-7;-3;13;-10;-3;2;3;2;-4;-2;2
17 år;7;3;67;40;49;40;27;9;-12;-7;1;-6;6;2;13;1;1;-1;0;0;-1;3;-2
18 år;9;18;59;131;8;59;-6;-13;5;-11;3;-1;-8;3;18;-3;-1;6;-3;-4;-5;1;-10
19 år;11;-72;-66;-56;-144;-4;-111;-10;-83;-11;-54;-26;-5;-17;48;-17;-5;-13;-10;-8;-8;-11;-8
20 år;-22;-86;-78;-195;-185;-8;-95;1;-118;-21;-42;-53;-3;-12;113;-19;-6;-9;-4;-3;-6;-8;0
21 år;-44;-55;0;-190;-130;-29;-71;-20;-144;-13;-31;-32;-23;-11;71;-33;-3;-3;-11;-5;-2;-6;-5
22 år;-13;-25;11;-93;-48;-33;-85;-3;-75;-11;-37;-46;-4;-7;44;-19;-9;-6;-4;-3;-6;-10;-6
23 år;-25;-30;23;-46;-59;-10;-80;-24;-89;1;-56;-37;-1;-26;11;-16;-6;-1;1;-8;-5;-2;-5
24 år;-69;11;29;-26;-71;-53;-51;-30;-60;-18;-12;-53;-17;-11;-44;-15;0;-3;-3;-2;2;6;7
25 år;-38;43;-14;-25;-129;-81;-73;-25;-53;11;-56;-12;-19;-3;-35;-9;-1;4;-7;-7;-16;-8;-4
26 år;-29;21;57;53;-26;-19;-55;5;-98;1;-35;-4;1;3;11;-10;-3;-3;3;-8;-4;-3;-17
27 år;21;35;28;-18;-11;-50;14;-22;-21;12;-8;-16;8;0;-15;-6;1;-10;4;0;-3;-12;-10
28 år;10;40;43;140;21;-9;42;-5;-9;2;7;-31;-2;-19;-29;-11;8;1;3;-4;1;3;8
29 år;-29;70;13;68;52;21;40;4;43;-2;-1;18;2;-4;-32;0;-5;-13;0;-5;-1;1;1
30 år;-8;64;61;120;59;34;52;4;69;-3;5;11;0;0;-15;-5;-8;-2;0;3;-3;-3;11
31 år;7;57;93;80;98;27;28;-2;43;11;11;11;-3;8;-4;-10;-2;7;-3;4;-1;0;-3
32 år;19;73;107;115;85;11;53;-6;24;8;15;17;-4;1;3;5;-4;4;5;3;0;-4;-6
33 år;39;69;76;122;42;4;84;-10;22;1;9;12;0;1;16;13;0;-3;3;-4;2;2;7
34 år;7;50;28;98;63;38;57;-5;60;-3;7;10;0;-1;5;-8;0;-7;-1;-2;-2;3;5
35 år;13;43;45;73;67;21;79;7;32;4;11;10;5;0;1;10;1;-5;3;1;2;0;1
36 år;37;32;57;111;16;23;36;2;47;7;20;10;0;9;4;2;3;5;-7;-3;5;7;-3
37 år;19;16;75;64;56;51;3;-1;22;0;18;3;4;15;2;-12;2;1;0;3;1;1;0
38 år;6;7;53;66;62;37;39;10;32;2;12;13;-2;15;-4;-10;-5;-1;-4;3;-2;1;1
39 år;27;27;50;41;54;11;33;5;27;5;19;3;7;0;6;0;3;2;10;1;0;1;6
40 år;8;20;20;71;31;9;34;-4;19;1;4;-1;8;3;0;0;-6;7;4;0;-3;1;2
